date,well_id,oil,down_hole_presure,down_hole_temperature,production_pipe_pressure,choke_size_pct,well_head_presure,well_head_temperature,choke_size_pressure,year,month,day,day_of_year,day_of_week,quarter,is_month_start,is_month_end,maintenance_event,holiday_effect
2021-01-01,WELL_001,367.35213688550544,274.9038407417181,83.19789719173606,180.22191599642446,45.41928985287901,21.779776457776215,85.16571324701657,14.930786047945176,2021,1,1,1,4,1,1,0,0,0.8
2021-01-02,WELL_001,304.8991064472967,225.4565791918132,97.35620930022145,168.12215365983255,43.08554151175661,10.0,64.50631030022865,10.0,2021,1,2,2,5,1,0,0,0,0.8
2021-01-03,WELL_001,340.8879842145311,281.3658695301104,97.67534491936902,154.8085218561862,20.44055307501781,36.7838785155385,67.82000933713746,10.0,2021,1,3,3,6,1,0,0,0,0.8
2021-01-04,WELL_001,415.6063435383611,204.30620185070876,91.10022824653454,175.92430992760015,13.15031363353473,38.00099286091502,90.09711926123722,13.842628814576825,2021,1,4,4,0,1,0,0,0,0.8
2021-01-05,WELL_001,337.2230981374498,277.6497829309358,93.42003473373433,151.44617609518465,47.74014219125242,35.23492360130287,71.67515414591749,10.0,2021,1,5,5,1,1,0,0,0,0.8
2021-01-06,WELL_001,337.9138369372869,314.9879486296589,91.76217233782458,159.3444491938211,37.85298324651203,10.0,78.82873182391964,10.0,2021,1,6,6,2,1,0,0,0,0.8
2021-01-07,WELL_001,420.20457669783264,336.76861369929753,96.92501932764542,166.87272426152876,100.0,46.60570186385772,83.70776601242443,11.201985439033898,2021,1,7,7,3,1,0,0,0,0.8
2021-01-08,WELL_001,384.3645628118809,305.65013592133937,96.11733003370838,112.74542249446147,29.96601376896915,45.53969779604672,72.48640401681132,11.226826317035995,2021,1,8,8,4,1,0,0,0,0.8
2021-01-09,WELL_001,294.3416526329271,272.94902144291245,99.09222560918133,159.7450713204314,3.402391717168044,11.285701679758699,71.1954550737971,10.0,2021,1,9,9,5,1,0,0,0,0.8
2021-01-10,WELL_001,340.5042019613684,317.6961696249573,100.96238381528984,208.34131217944923,41.06959202045821,10.0,94.43255152576276,10.0,2021,1,10,10,6,1,0,0,0,0.8
2021-01-11,WELL_001,331.04620382343916,302.2429726159192,104.04107726918915,170.16046902752228,27.820355810208802,19.594858529608725,68.3182742525066,10.0,2021,1,11,11,0,1,0,0,0,0.8
2021-01-12,WELL_001,331.6321610893384,239.2141571765782,87.95970800950477,172.70997155500731,28.051158559429688,19.166719903058038,90.6105215290693,10.0,2021,1,12,12,1,1,0,0,0,0.8
2021-01-13,WELL_001,364.1683022204715,262.094780415609,89.5459510663351,183.0350951227804,50.34887882731615,32.2280397674062,59.750022262483924,10.0,2021,1,13,13,2,1,0,0,0,0.8
2021-01-14,WELL_001,267.87238899039903,299.794519295496,91.13113454861919,139.35601413490232,12.612035166617963,10.0,81.3670452517457,10.0,2021,1,14,14,3,1,0,0,0,0.8
2021-01-15,WELL_001,277.03869753691356,274.01412058630166,92.15221023354354,186.15383866556556,16.72082603310172,17.44785948394794,90.90587970476051,10.0,2021,1,15,15,4,1,0,0,0,0.8
2021-01-16,WELL_001,294.5120611841562,306.82493293112213,102.06078913675255,104.79259478197667,0.9584469765942281,44.55719651311359,59.2739967774189,10.0,2021,1,16,16,5,1,0,0,0,0.8
2021-01-17,WELL_001,274.8585995849509,295.5304918318838,89.60745339661058,137.72960926124037,0.0,18.633998956452977,62.58213199363995,10.0,2021,1,17,17,6,1,0,0,0,0.8
2021-01-18,WELL_001,370.8711299667873,280.60570410064344,93.38277742999168,156.55642909337163,39.30995527026724,46.50837404203284,85.90191359772578,10.0,2021,1,18,18,0,1,0,0,0,0.8
